name,url
Pointer Lock Api,https://www.svgrepo.com/show/439265/pointer-lock-api.svg
Polyfills,https://www.svgrepo.com/show/439266/polyfills.svg
Postcss,https://www.svgrepo.com/show/439267/postcss.svg
Postgresql,https://www.svgrepo.com/show/439268/postgresql.svg
Presentation,https://www.svgrepo.com/show/439269/presentation.svg
Prettier,https://www.svgrepo.com/show/439270/prettier.svg
Precedence Graph,https://www.svgrepo.com/show/439271/precedence-graph.svg
Programming Paradigms,https://www.svgrepo.com/show/439272/programming-paradigms.svg
Project Fugu,https://www.svgrepo.com/show/439273/project-fugu.svg
Promises,https://www.svgrepo.com/show/439274/promises.svg
Prototype,https://www.svgrepo.com/show/439275/prototype.svg
Prototype (1),https://www.svgrepo.com/show/439276/prototype-1.svg
Proximity,https://www.svgrepo.com/show/439277/proximity.svg
Proxies,https://www.svgrepo.com/show/439278/proxies.svg
Proxy Server,https://www.svgrepo.com/show/439279/proxy-server.svg
Proxy,https://www.svgrepo.com/show/439280/proxy.svg
Pseudo Selectors,https://www.svgrepo.com/show/439281/pseudo-selectors.svg
Queues And Stacks,https://www.svgrepo.com/show/439282/queues-and-stacks.svg
Prpl Pattern,https://www.svgrepo.com/show/439283/prpl-pattern.svg
Push Notifications,https://www.svgrepo.com/show/439284/push-notifications.svg
Quicksort,https://www.svgrepo.com/show/439285/quicksort.svg
Rail Model,https://www.svgrepo.com/show/439286/rail-model.svg
Recursion,https://www.svgrepo.com/show/439287/recursion.svg
Redis,https://www.svgrepo.com/show/439288/redis.svg
Red Black Tree,https://www.svgrepo.com/show/439289/red-black-tree.svg
React,https://www.svgrepo.com/show/439290/react.svg
Regex,https://www.svgrepo.com/show/439291/regex.svg
Relational Algebra,https://www.svgrepo.com/show/439292/relational-algebra.svg
Relational Databases,https://www.svgrepo.com/show/439293/relational-databases.svg
Relative Units,https://www.svgrepo.com/show/439294/relative-units.svg
Render Blocking Resources,https://www.svgrepo.com/show/439295/render-blocking-resources.svg
Rendering,https://www.svgrepo.com/show/439296/rendering.svg
Repetition,https://www.svgrepo.com/show/439297/repetition.svg
Requestanimationframe,https://www.svgrepo.com/show/439298/requestanimationframe.svg
Requestidlecallback,https://www.svgrepo.com/show/439299/requestidlecallback.svg
Resize Observer,https://www.svgrepo.com/show/439300/resize-observer.svg
Request Reply Protocol,https://www.svgrepo.com/show/439301/request-reply-protocol.svg
Resource Prioritization,https://www.svgrepo.com/show/439302/resource-prioritization.svg
Responsive Design,https://www.svgrepo.com/show/439303/responsive-design.svg
Rest Api,https://www.svgrepo.com/show/439304/rest-api.svg
Rollup,https://www.svgrepo.com/show/439305/rollup.svg
Sass,https://www.svgrepo.com/show/439306/sass.svg
Routing,https://www.svgrepo.com/show/439307/routing.svg
Screen Capture,https://www.svgrepo.com/show/439308/screen-capture.svg
Screen Readers,https://www.svgrepo.com/show/439309/screen-readers.svg
Scrollsnapping,https://www.svgrepo.com/show/439310/scrollsnapping.svg
